,Date,Last Px,Vol,SMAVG
Th,3/1/2012,64.83,8.814M,9.728M
We,2/29/2012,65.08,11.49M,9.6M
Tu,2/28/2012,65.18,11.581M,9.451M
Mo,2/27/2012,64.45,8.523M,9.314M
,,,,
Fr,2/24/2012,64.46,10.479M,9.348M
Th,2/23/2012,65.1,8.995M,9.202M
We,2/22/2012,65,8.151M,9.421M
Tu,2/21/2012,65.04,8.083M,9.782M
,,,,
Fr,2/17/2012,64.99,9.057M,9.742M
Th,2/16/2012,64.92,8.194M,9.836M
We,2/15/2012,64.65,9.023M,10.126M
Tu,2/14/2012,64.61,8.979M,10.25M
Mo,2/13/2012,64.68,9.662M,10.476M
,,,,
Fr,2/10/2012,64.6,13.955M,10.507M
Th,2/9/2012,64.89,10.936M,10.558M
We,2/8/2012,65.24,6.889M,10.609M
Tu,2/7/2012,65.26,9.248M,10.689M
Mo,2/6/2012,65.19,9.536M,10.63M
,,,,
Fr,2/3/2012,65.64,9.036M,10.593M
Th,2/2/2012,65.59,8.282M,10.484M
We,2/1/2012,65.69,12.276M,10.384M
Tu,1/31/2012,65.91,13.568M,10.131M
Mo,1/30/2012,65.71,7.487M,9.755M
,,,,
Fr,1/27/2012,65.56,10.47M,10.28M
Th,1/26/2012,65.7,12.546M,10.374M
We,1/25/2012,65.22,10.881M,10.154M
Tu,1/24/2012,65,12.368M,10.503M
Mo,1/23/2012,65,10.125M,10.009M
,,,,
Fr,1/20/2012,65.27,14.715M,9.714M
Th,1/19/2012,65.19,11.7M,9.13M
We,1/18/2012,65.28,8.096M,8.683M
Tu,1/17/2012,65.12,8.36M,8.577M
,,,,
Fr,1/13/2012,65.26,8.979M,8.514M
Th,1/12/2012,65.23,7.403M,8.484M
We,1/11/2012,65.13,6.785M,8.807M
Tu,1/10/2012,65.2,8.477M,8.956M
Mo,1/9/2012,64.93,7.935M,9.672M
,,,,
Fr,1/6/2012,64.83,15.36M,9.787M
Th,1/5/2012,65.4,11.887M,9.416M
We,1/4/2012,65.48,9.243M,9.572M
Tu,1/3/2012,65.88,16.116M,9.676M
,,,,
Fr,12/30/2011,65.58,4.96M,9.191M
Th,12/29/2011,65.88,5.702M,9.498M
We,12/28/2011,65.45,5.944M,9.885M
Tu,12/27/2011,66.02,4.995M,10.183M
,,,,
Fr,12/23/2011,65.98,6.503M,10.87M
Th,12/22/2011,65.18,7.428M,11.489M
We,12/21/2011,64.96,8.518M,11.651M
Tu,12/20/2011,64.52,12.248M,12.085M
Mo,12/19/2011,63.53,9.025M,11.864M
,,,,
Fr,12/16/2011,64.3,19.214M,12.041M
Th,12/15/2011,64,9.657M,11.149M
We,12/14/2011,63.18,9.802M,11.196M
Tu,12/13/2011,63.36,14.219M,11.121M
