Date,Last Px,Vol,SMAVG (15)
3/1/2012,64.83,40.41M,47.821M
,,,
2/24/2012,64.46,35.71M,48.726M
2/17/2012,64.99,44.92M,49.314M
2/10/2012,64.6,50.56M,50.227M
2/3/2012,65.64,50.65M,50.833M
,,,
1/27/2012,65.56,56.39M,51.937M
1/20/2012,65.27,42.87M,50.749M
1/13/2012,65.26,39.58M,52.721M
1/6/2012,64.83,52.61M,53.824M
,,,
12/30/2011,65.58,21.6M,54.312M
12/23/2011,65.98,43.72M,57.191M
12/16/2011,64.3,63.7M,58.222M
12/9/2011,64.53,55.62M,58.206M
12/2/2011,63.47,61.29M,59.191M
,,,
11/25/2011,61.27,57.69M,62.246M
11/18/2011,63.85,53.98M,70.216M
11/11/2011,65.25,44.53M,73.161M
11/4/2011,64.12,58.61M,74.18M
,,,
10/28/2011,65.6,59.65M,73.744M
10/21/2011,63.78,67.21M,72.991M
10/14/2011,64.72,38.57M,70.721M
10/7/2011,63.13,72.45M,71.024M
,,,
9/30/2011,63.69,56.13M,69.963M
9/23/2011,61.59,59.93M,70.101M
9/16/2011,64.59,64.79M,69.588M
9/9/2011,63.64,59.18M,68.431M
9/2/2011,64.07,63.46M,68.902M
,,,
8/26/2011,64.28,70.39M,68.231M
8/19/2011,63.14,107.12M,67.941M
8/12/2011,63.36,177.24M,65.389M
8/5/2011,62.71,98.15M,58.289M
,,,
7/29/2011,64.79,59.82M,57.385M
7/22/2011,66.72,52.07M,57.306M
7/15/2011,67.45,48.36M,56.977M
7/8/2011,67.57,33.15M,56.955M
7/1/2011,67.3,43.12M,57.912M
,,,
6/24/2011,65.06,56.54M,59.817M
6/17/2011,66.29,58.2M,59.637M
6/10/2011,66.09,52.23M,59.995M
6/3/2011,66.09,47.43M,59.633M
,,,
5/27/2011,66.77,66.25M,59.515M
5/20/2011,65.69,53.39M,57.959M
5/13/2011,66.62,66.04M,58.642M
5/6/2011,65.27,68.84M,59.988M
,,,
4/29/2011,65.72,70.75M,58.599M
4/22/2011,64.07,84.59M,56.964M
4/15/2011,60.56,58.63M,55.176M
4/8/2011,59.46,47.14M,53.083M
4/1/2011,59.49,48.03M,52.135M
,,,
3/25/2011,58.98,47.5M,53.321M
3/18/2011,58.57,71.69M,53.542M
3/11/2011,59.69,53.84M,52.767M
3/4/2011,61.06,63.58M,51.859M
,,,
2/25/2011,59.64,46.79M,51.494M
2/18/2011,61.11,45.67M,51.745M
2/11/2011,60.7,42.9M,51.896M
2/4/2011,60.84,63.64M,52.121M
,,,
1/28/2011,60.01,86.23M,51.623M
1/21/2011,62.66,48M,49.001M
1/14/2011,62.55,46.23M,49.113M
1/7/2011,62.6,57.77M,49.502M
,,,
12/31/2010,61.85,27.24M,49.05M
12/24/2010,62.25,32.92M,50.732M
12/17/2010,62.54,65.81M,50.969M
12/10/2010,61.91,50.82M,49.984M
12/3/2010,62.56,60.06M,50.595M
,,,
11/26/2010,62.3,40.22M,50.324M
11/19/2010,63.83,58.11M,50.875M
11/12/2010,63.67,50.56M,50.411M
11/5/2010,64.65,47.93M,51.591M
,,,
10/29/2010,63.74,46.27M,54.485M
10/22/2010,63.81,56.18M,55.521M
10/15/2010,63.57,46.9M,55.83M
10/8/2010,63.23,49.68M,58.062M
10/1/2010,61.75,52.06M,61.541M
,,,
9/24/2010,62.14,50.99M,61.992M
9/17/2010,61.57,52.47M,63.504M
9/10/2010,59.98,36.48M,64.748M
9/3/2010,58.93,51.03M,69.709M
,,,
8/27/2010,57.6,59.98M,72.542M
